pic_url,Name,Profile URL,Specialty,Rating,Review Count
https://api.zocdoc.com/spo/v2/attribution/impression?apikey=cPgSLJL58xJzCsQvy7BiC9kshJDCZKpp&ad_decision_id=990890969&decision_token=54719a93-9af9-449f-8f96-7c5b6034a28a&directory_id=-1,"Reeta Dawady, NP",https://www.zocdoc.com/doctor/reeta-dawady-np-608948?LocIdent=327259&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true&spoAdDecisionId=990890969&ad_decision_token=54719a93-9af9-449f-8f96-7c5b6034a28a,,,
https://api.zocdoc.com/spo/v2/attribution/impression?apikey=cPgSLJL58xJzCsQvy7BiC9kshJDCZKpp&ad_decision_id=990890970&decision_token=f2797111-ab79-4fda-88bd-8f92eac1fd8c&directory_id=-1,"Janice Mattocks, NP",https://www.zocdoc.com/doctor/janice-mattocks-np-608940?LocIdent=327259&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true&spoAdDecisionId=990890970&ad_decision_token=f2797111-ab79-4fda-88bd-8f92eac1fd8c,,,
,"Grace Kelley, FNP-BC",https://www.zocdoc.com/doctor/grace-kelley-fnp-bc-608934?LocIdent=327259&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true&spoAdDecisionId=990890971&ad_decision_token=32fc829a-b3d2-4b78-857d-64a7661551ae,,,
,"Ty Comer, PA",https://www.zocdoc.com/doctor/ty-comer-pa-520756?LocIdent=315718&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true&spoAdDecisionId=990890972&ad_decision_token=526f5fce-e6d9-4629-85cc-89a08597cea6,,,
,"Dr. Rogelio Trevino, MD",https://www.zocdoc.com/doctor/rogelio-trevino-md-680886?LocIdent=222937&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Dr. Lawrence Broder, MD",https://www.zocdoc.com/doctor/lawrence-broder-md-543261?LocIdent=315718&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Ty Comer, PA",https://www.zocdoc.com/doctor/ty-comer-pa-520756?LocIdent=315718&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Jessica Jones, FNP",https://www.zocdoc.com/doctor/jessica-jones-fnp-593854?LocIdent=315718&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Jillian Herron, APRN, RN, NP",https://www.zocdoc.com/doctor/jillian-herron-aprn-rn-np-667695?LocIdent=222937&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Dr. Irma Aguirre, MD",https://www.zocdoc.com/doctor/irma-aguirre-md-695392?LocIdent=380416&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Alonzo Alaniz, APRN, RN",https://www.zocdoc.com/doctor/alonzo-alaniz-aprn-rn-655034?LocIdent=222937&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Dr. Merin Varghese, DO",https://www.zocdoc.com/doctor/merin-varghese-do-682379?LocIdent=372006&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Rachael Kimpan, APRN",https://www.zocdoc.com/doctor/rachael-kimpan-aprn-557363?LocIdent=222937&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Michelle Caneda, APRN, RN",https://www.zocdoc.com/doctor/michelle-caneda-aprn-rn-426737?LocIdent=222937&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true&spoAdDecisionId=990890973&ad_decision_token=d498db5d-e160-4952-a575-8c9f0bd24427,,,
,"Carbon Health Urgent Care - Austin, Westbank Market",https://www.zocdoc.com/doctor/carbon-health-urgent-care-austin-westbank-market-385082?LocIdent=191086&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Stephanie Berry, APRN, RN, NP",https://www.zocdoc.com/doctor/stephanie-berry-aprn-rn-np-713758?LocIdent=328739&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Dr. Sunita Swamy, MD",https://www.zocdoc.com/doctor/sunita-swamy-md-245823?LocIdent=102236&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,Next Level Urgent Care Red River,https://www.zocdoc.com/doctor/next-level-urgent-care-red-river-560057?LocIdent=300788&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Candice Thomas, APRN, RN, NP",https://www.zocdoc.com/doctor/candice-thomas-aprn-rn-np-685904?LocIdent=151724&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Dr. Luke Kotin, MD",https://www.zocdoc.com/doctor/luke-kotin-md-543736?LocIdent=21593&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Dr. Lamia Kadir, MD",https://www.zocdoc.com/doctor/lamia-kadir-md-617783?LocIdent=327260&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
,"Audrey Malcolm, PA",https://www.zocdoc.com/doctor/audrey-malcolm-pa-659312?LocIdent=357497&reason_visit=75&insuranceCarrier=&insurancePlan=-1&dr_specialty=153&isNewPatient=true,,,
